Season,GameCode,Team,PlayerID,PlayerName,PIR,IsStarter,IsPlaying,Dorsal,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Plusminus
2023,6,MIL,P002812,"HINES, KYLE",4,0,1,42,15:30,4,2,2,0,0,0,0,0,1,1,1,1,1,0,0,2,0,1
2023,6,MIL,P007201,"VOIGTMANN, JOHANNES",21,1,1,77,31:45,21,5,7,3,7,2,4,2,5,7,2,0,4,1,0,1,3,-2
2023,7,PAN,P011209,"KALAITZAKIS, PANAGIOTIS",0,0,0,0,00:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,PAN,P007947,"VILDOZA, LUCA",2,1,1,2,21:13,5,1,2,1,5,0,0,0,0,0,4,1,3,0,0,1,1,-17
2023,7,PAN,P011826,"GUY, KYLE",1,0,0,3,11:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2023,7,PAN,P006544,"MORAITIS, DIMITRIS",0,0,0,6,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,PAN,P007553,"BALCEROWSKI, ALEKSANDER",4,1,0,8,12:27,7,2,4,1,2,0,0,1,1,2,0,2,0,0,1,3,0,-9
2023,7,PAN,P001926,"SLOUKAS, KOSTAS",11,0,0,10,31:12,20,5,9,2,6,4,4,1,2,3,3,0,7,0,1,4,5,-1
2023,7,PAN,P011204,"GRANT, JERIAN",8,1,1,22,32:30,5,1,2,0,2,3,4,0,3,3,4,2,2,0,0,2,2,-7
2023,7,PAN,P003842,"LESSORT, MATHIAS",18,0,1,26,33:40,10,3,6,0,0,4,4,2,8,10,0,2,3,0,0,2,4,-6
2023,7,PAN,P011221,"ANTETOKOUNMPO, KOSTAS",0,0,0,37,00:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,PAN,P002328,"GRIGONIS, MARIUS",14,1,1,40,30:23,17,2,3,4,6,1,2,0,2,2,2,0,1,0,0,4,2,-10
2023,7,PAN,P012712,"HERNANGOMEZ, JUANCHO",25,1,1,41,43:12,13,2,5,2,3,3,3,3,7,10,2,1,2,2,0,0,3,-15
2023,7,PAN,P008084,"MANTZOUKAS, ELEFTHERIOS",0,0,0,72,08:03,1,0,1,0,0,1,2,0,1,1,0,0,0,0,0,1,1,10
2023,7,OLY,P008855,"WALKUP, THOMAS",16,1,1,0,38:45,17,1,3,5,10,0,0,0,2,2,5,3,3,0,0,3,2,20
2023,7,OLY,P007982,"WILLIAMS-GOSS, NIGEL",16,0,1,1,27:13,16,3,5,3,6,1,2,0,0,0,3,1,1,0,0,1,4,5
2023,7,OLY,P010612,"CANAAN, ISAIAH",11,1,0,3,31:49,14,1,2,4,6,0,0,0,2,2,2,2,2,0,0,5,1,18
2023,7,OLY,P006302,"LOUNTZIS, MICHALIS",0,0,0,4,00:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,OLY,P010392,"LARENTZAKIS, GIANNOULIS",-8,0,0,5,11:55,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,2,0,-6
2023,7,OLY,P012023,"PAPAS, GEORGE",0,0,0,9,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,OLY,P001255,"PAPANIKOLAOU, KOSTAS",5,1,1,16,26:18,3,0,1,1,5,0,0,0,2,2,5,0,1,0,0,1,2,-8
2023,7,OLY,P008829,"PETERS, ALEC",31,1,1,25,36:50,17,5,7,2,2,1,1,4,6,10,4,4,1,0,1,2,2,21
2023,7,OLY,P003941,"MILUTINOV, NIKOLA",21,1,1,33,35:34,15,6,12,0,0,3,3,2,5,7,1,1,1,2,1,2,5,18
2023,7,OLY,P006589,"SIKMA, LUKE",6,0,0,43,10:00,4,2,2,0,0,0,0,1,2,3,0,1,0,0,0,2,0,-8
